u,Estimation,CI025,CI975
0.1,4.639573345,4.115240283,5.519206772
0.1,-0.212250825,-0.828639529,0.297638719
0.1,-0.032118455,-0.068784861,-0.003769485
0.2,5.909967138,5.361406090,6.939266581
0.2,-0.698254805,-1.511906537,-0.213025755
0.2,-0.041381887,-0.083753907,-0.012289353
0.3,6.456093089,5.948167802,7.522451647
0.3,-0.935030390,-1.314505094,-0.244593013
0.3,-0.035302941,-0.086558342,-0.015105836
0.4,6.782684578,6.282678063,7.621786315
0.4,-0.511317723,-0.890488126,-0.201650660
0.4,-0.043113178,-0.075354340,-0.017688846
0.5,6.530777739,6.048572020,7.583679491
0.5,-0.407658939,-0.736789862,-0.210276299
0.5,-0.020809623,-0.052871783,0.003574951
0.6,7.966683127,7.577646603,8.475285033
0.6,-1.249278969,-1.748760656,-0.942229515
0.6,-0.035883331,-0.062283090,-0.009316042
