"recid","delta","age","hsged","yearearn","white","children","jtpa","treatment","single","male","days"
300001,1,46,1,0,0,0,1,1,1,0,151
300002,1,24,1,3591,1,1,1,1,0,0,32
300003,1,28,0,6000,0,1,1,1,0,1,72
300006,1,34,1,0,0,1,0,1,0,0,188
300008,1,31,1,9476,1,1,1,1,0,0,67
300009,1,21,1,750,0,0,1,1,1,1,140
300011,1,20,1,4000,1,0,1,1,1,1,44
300014,1,41,1,0,1,1,1,1,0,0,174
300015,1,24,0,10339,1,1,1,1,0,1,211
300016,1,26,1,5000,1,0,1,1,1,1,66
300018,0,16,0,0,0,1,0,1,1,0,733
300021,1,20,1,0,0,1,1,1,0,0,261
300022,1,35,0,1671,0,1,1,1,0,0,18
300026,1,40,1,1569,1,1,1,1,0,0,176
300032,1,31,0,8000,1,0,0,1,1,1,15
300033,1,28,1,12300,1,1,0,0,0,1,51
300036,1,45,1,1176,0,1,0,1,0,0,29
300045,1,21,1,7000,1,1,1,1,0,1,9
300046,1,21,1,3000,0,0,1,1,1,0,112
300048,1,33,1,500,1,1,0,0,0,0,138
300051,1,19,1,759,0,0,0,1,1,0,189
300054,1,23,0,2500,1,0,0,0,1,1,30
300056,0,48,0,0,1,0,1,1,0,1,581
300059,1,26,0,0,1,1,1,1,0,0,451
300063,1,29,0,4000,1,1,1,0,0,0,569
300065,0,25,0,1340,0,0,0,1,1,0,387
300067,1,20,1,0,0,1,0,1,1,0,403
300072,0,31,1,14000,1,0,0,0,0,1,753
300076,1,22,1,5200,0,0,0,1,1,1,10
300078,0,50,0,154,1,1,0,0,0,0,573
300079,1,54,0,1900,0,1,1,1,0,0,490
300081,1,33,1,10000,0,1,1,1,0,1,45
300082,1,24,0,10000,0,1,0,0,1,0,26
300083,1,24,1,0,1,1,0,1,0,0,492
300084,0,30,0,0,0,0,0,0,0,1,591
300086,1,21,1,1980,0,0,0,0,1,1,292
300088,0,63,0,0,0,0,1,1,0,1,626
300089,1,21,1,0,0,1,1,1,1,0,263
300094,1,17,0,0,0,0,0,0,1,1,64
300095,1,33,0,1200,1,0,1,1,1,1,199
300100,0,27,0,300,0,1,0,0,0,0,562
300102,0,22,0,0,0,1,1,1,0,0,441
300103,1,55,1,0,1,1,0,0,0,0,435
300104,0,38,1,1800,0,0,0,0,0,1,858
300106,1,21,0,6500,1,0,1,1,1,1,15
300108,0,22,1,12000,0,1,0,0,1,0,665
300109,1,16,0,0,0,0,1,1,1,1,379
300112,0,52,0,4000,0,0,1,1,0,0,634
300118,1,38,1,0,0,0,0,0,0,1,14
300123,1,32,0,1000,0,0,1,1,1,1,18
300125,1,32,1,0,1,1,1,1,0,0,7
300126,0,19,0,2400,0,0,1,1,1,1,901
300127,0,54,0,0,1,1,0,0,0,0,619
300129,1,29,0,5280,0,0,1,1,0,1,61
300132,1,34,0,0,1,1,1,1,0,0,334
300133,1,36,1,1546,0,0,1,1,1,1,212
300136,1,37,1,4500,0,1,1,1,0,0,111
300137,0,70,0,12,0,0,0,0,0,0,619
300143,0,21,1,125,0,0,0,0,1,1,1247
300146,1,22,0,500,1,1,1,1,0,0,222
300148,1,18,0,1000,1,0,0,0,1,1,25
300152,1,19,1,0,0,0,1,1,1,1,238
300158,1,29,0,100,0,0,0,0,1,1,12
300160,1,22,1,2500,1,0,0,1,0,1,142
300161,1,23,0,0,1,1,0,1,0,0,501
300167,1,20,0,500,0,0,1,1,1,0,272
300172,0,24,0,150,1,0,1,1,1,1,386
300173,1,22,0,8000,1,0,1,1,0,1,8
300174,0,75,0,0,1,0,0,0,0,0,832
300179,1,18,0,0,0,0,1,1,1,1,238
300180,1,40,1,5200,0,1,1,1,0,1,158
300181,1,39,1,422,1,0,0,1,0,0,164
300182,1,37,0,3815,1,0,0,1,1,1,60
300185,1,19,1,0,1,0,0,0,1,0,1
300189,1,25,1,1000,1,1,0,0,0,0,195
300190,1,35,0,0,0,1,1,1,1,0,288
300192,1,28,1,15000,0,1,1,1,0,0,59
300194,1,17,0,450,1,0,0,1,1,1,45
300195,1,20,0,300,0,1,0,0,1,0,279
300202,1,25,0,6000,1,0,0,1,1,0,64
300204,1,20,1,0,0,1,1,1,1,0,366
300205,1,17,0,0,0,0,1,1,1,1,78
300212,1,43,0,5500,1,0,0,0,0,1,230
300215,1,25,1,2300,1,0,0,1,1,1,52
300224,1,29,0,2000,1,0,0,1,0,1,19
300225,1,30,0,5500,1,0,1,1,1,1,408
300227,1,20,0,11080,1,1,0,0,0,1,33
300232,0,38,0,0,0,1,0,1,0,0,524
300234,0,22,0,0,0,1,0,1,1,0,973
300236,0,17,0,0,0,1,1,0,1,0,815
300237,1,41,0,0,0,0,0,1,0,1,460
300238,1,29,1,700,1,1,0,1,0,0,124
300240,1,20,1,3500,1,0,1,1,1,0,152
300244,1,19,0,400,1,0,0,1,1,1,788
300248,1,27,0,2856,1,0,0,1,1,1,95
300254,0,29,0,0,1,0,1,1,1,1,586
300259,0,41,1,19000,1,1,1,0,0,1,533
300261,0,28,1,0,1,0,0,1,1,1,642
300267,0,17,0,0,0,0,0,1,1,0,977
300269,1,21,1,400,0,1,0,0,0,0,656
300271,1,24,1,3400,0,1,0,0,1,0,273
300272,0,19,0,67,1,1,0,0,1,0,1274
300275,1,18,1,0,0,0,1,0,1,0,23
300276,1,34,1,0,0,1,0,1,0,0,31
300277,1,21,1,4791,1,0,1,1,0,1,33
300279,1,41,0,8120,0,1,0,1,0,1,508
300280,1,20,0,0,0,0,0,0,1,1,16
300281,1,33,0,0,0,1,0,1,0,0,270
300284,1,19,0,5000,1,0,0,0,1,1,81
300285,1,17,0,1200,1,0,0,1,1,1,71
300286,1,18,1,828,1,0,0,1,1,0,8
300288,1,38,0,14665,1,1,0,0,0,0,64
300290,0,63,0,1045,1,0,0,1,0,1,555
300292,0,28,0,0,0,0,0,1,1,1,1204
300296,1,42,1,6314,1,0,1,1,0,0,90
300299,1,18,0,0,1,1,0,0,1,0,482
300304,1,19,1,2000,0,1,0,0,1,0,58
300305,1,68,0,0,1,0,0,0,0,0,19
300307,1,26,1,2725,1,0,1,1,1,1,470
300308,0,42,0,1100,1,0,0,0,0,1,388
300309,1,41,1,671,1,0,0,0,1,1,148
300313,1,17,0,1000,1,1,0,0,1,1,15
300314,1,30,0,0,0,1,0,1,0,0,18
300316,1,32,1,5200,1,1,1,1,0,0,3
300317,1,37,1,3000,1,1,1,1,0,0,122
300318,1,31,0,11475,0,1,0,1,0,0,31
300322,1,32,1,550,1,1,1,1,0,0,238
300323,1,19,1,870,1,1,1,1,1,0,549
300324,1,20,1,0,0,1,1,1,1,0,193
300325,1,23,0,0,1,1,0,0,0,0,369
300327,0,38,1,3792,0,1,0,1,0,0,651
300329,1,25,0,7360,0,1,0,1,0,0,81
300330,1,26,0,300,1,0,1,1,0,1,7
300331,0,34,1,200,0,1,1,1,1,0,482
300333,1,39,0,2800,1,0,0,0,0,1,112
300338,1,20,0,0,1,1,1,1,1,0,246
300341,1,19,0,0,0,0,1,1,1,1,6
300346,1,34,1,2100,1,0,0,0,0,1,229
300349,1,17,0,0,0,0,1,1,1,1,518
300350,1,22,1,2500,0,0,0,1,1,1,210
300355,1,24,0,5000,0,1,1,1,1,0,219
300358,1,19,1,110,0,0,0,1,1,1,279
300362,1,28,1,0,1,1,1,1,0,0,376
300369,1,56,0,11189,0,0,1,1,0,1,103
300372,1,32,0,3235,1,0,1,1,0,1,374
300378,1,28,0,5494,1,1,1,1,1,0,136
300379,1,17,0,0,1,0,0,0,1,0,414
300382,0,18,0,768,0,0,1,1,1,0,720
300383,0,24,1,0,0,0,1,1,1,1,521
300385,1,30,0,1000,1,1,0,1,0,0,176
300387,1,41,1,3593,1,1,1,1,0,1,49
300388,1,19,0,7000,1,0,1,1,1,1,255
300389,1,28,1,0,1,1,0,1,0,0,245
300391,1,26,0,600,0,0,1,1,1,1,32
300392,1,29,1,3000,1,1,1,1,0,0,134
300393,1,42,0,2000,0,1,0,0,0,0,215
300397,1,17,0,0,1,1,1,1,1,0,612
300398,1,27,1,0,1,1,0,0,0,0,901
300401,1,26,0,5120,0,0,0,0,1,1,170
300403,1,37,1,0,1,0,1,1,1,1,18
300404,1,32,1,0,0,0,1,1,1,1,181
300406,1,20,0,2000,0,0,1,1,1,1,240
