"crq_bias_beta0","crq_bias_beta1","crq_bias_beta2","Cdensity","n","u","rmse","CP95_beta0","CP95_beta1","CP95_beta2","Wdensity","X1density","X2density","censor"
"-0.0364442703229248","0.191922206981683","-0.0645202649974949","rexp(n, 0.176)","500","0.3","0.266197674375218","0.932","0.78","0.974","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",40
"-0.0444836491706303","0.191395011335761","-0.0459030101203362","rexp(n, 0.176)","1000","0.3","0.234949896603325","0.838","0.29","0.942","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",40
"-0.042325577770895","0.198694821686244","-0.0418948155511382","rexp(n, 0.069)","500","0.3","0.265146871687846","0.93","0.448","0.948","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",20
"-0.0497397932226305","0.198164819205841","-0.0269981672123129","rexp(n, 0.069)","1000","0.3","0.234746760086578","0.812","0.126","0.974","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",20
"0.0167879734877141","-0.00449798644765131","-0.0473448111955761","rexp(n, 0.175)","500","0.3","0.173099321048049","0.982","0.938","0.962","as.numeric(runif(n))>0.5","0.5*Us + Ws -1 > 0","runif(n)",40
"0.0131318202911964","-0.00559570831965672","-0.0462411419518291","rexp(n, 0.175)","1000","0.3","0.129748419817383","0.964","0.96","0.942","as.numeric(runif(n))>0.5","0.5*Us + Ws -1 > 0","runif(n)",40
"0.0131192055709276","-0.00403868749666471","-0.0275752491538285","rexp(n, 0.07)","500","0.3","0.170258715136232","0.96","0.942","0.966","as.numeric(runif(n))>0.5","0.5*Us + Ws -1 > 0","runif(n)",20
"0.00889497816660658","-0.00507268356743682","-0.0250428797917025","rexp(n, 0.07)","1000","0.3","0.120369544852917","0.956","0.94","0.954","as.numeric(runif(n))>0.5","0.5*Us + Ws -1 > 0","runif(n)",20
"0.00827877597982135","-0.00381342814395075","-0.0945916722267242","rexp(n, 0.065)","500","0.3","0.182597168656818","0.958","0.958","0.822","exp(rnorm(n))","0.5*Us + Ws + 0.2*runif(n)","rexp(n)",40
"0.0150924440359408","-0.00603247813648431","-0.0920945339279921","rexp(n, 0.065)","1000","0.3","0.144566801867441","0.94","0.92","0.566","exp(rnorm(n))","0.5*Us + Ws + 0.2*runif(n)","rexp(n)",40
"-0.0492405646671872","0.0418227072168992","-0.0409823431240756","rexp(n, 0.0173)","500","0.3","0.178158662871547","0.974","0.948","0.974","exp(rnorm(n))","0.5*Us + Ws + 0.2*runif(n)","rexp(n)",20
"-0.0381083267455871","0.0354818708161263","-0.043487400597008","rexp(n, 0.0173)","1000","0.3","0.133610386072368","0.928","0.898","0.944","exp(rnorm(n))","0.5*Us + Ws + 0.2*runif(n)","rexp(n)",20
"-0.0558645297243681","0.214715067704444","-0.0798065561228032","rexp(n, 0.176)","500","0.5","0.304279869898193","0.944","0.702","0.954","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",40
"-0.0613043146504746","0.2131831103258","-0.0646935592111249","rexp(n, 0.176)","1000","0.5","0.269946442043497","0.83","0.242","0.948","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",40
"-0.0605532706126927","0.222994423015497","-0.0519732447012375","rexp(n, 0.069)","500","0.5","0.295243755789337","0.95","0.372","0.972","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",20
"-0.0656268655089385","0.223614221001955","-0.0410557915670801","rexp(n, 0.069)","1000","0.5","0.269864977815575","0.78","0.11","0.95","rexp(n)","0.5*Us + Ws -1 > 0","runif(n)",20
"0.0144947510052548","-0.0136182152805766","-0.0566177778551197","rexp(n, 0.175)","500","0.5","0.207925198514432","0.95","0.986","0.95","as.numeric(runif(n))>0.5","0.5*Us + Ws -1 > 0","runif(n)",40
"0.0122972983366573","-0.0160477594582558","-0.0563770327069277","rexp(n, 0.175)","1000","0.5","0.154075170851208","0.956","0.964","0.91","as.numeric(runif(n))>0.5","0.5*Us + Ws -1 > 0","runif(n)",40
